Nome,Endereço,Telefone,Site,Reputação,Site Próprio,Velocidade Carregamento (s),Tem SSL,Domínio,WhatsApp,Instagram,Tecnologias
Universidade Federal de Ciências da Saúde de Porto Alegre,"R. Sarmento Leite, 245 - Centro Histórico, Porto Alegre - RS, 90050-170",(51) 3303-8700,Não obtido,443 (4.8),Não obtido,Não obtido,Não obtido,Não obtido,Não obtido,Não obtido,Não obtido
Faculdade Ulbra Medicina Porto Alegre - Unidade 1,"Av. Dr. João Simplício Alves de Carvalho, 600 - Vila Ipiranga, Porto Alegre - RS, 91360-260",(51) 99300-6269,ulbra.br,2 (5.0),Sim,0.47,Sim,ulbra.br,Não obtido,https://www.instagram.com/ulbrabr/,Bootstrap
FAMED/UFRGS (Faculdade de Medicina),"nº, R. Ramiro Barcelos, 2400 - Santa Cecília, Porto Alegre - RS, 90035-003",(51) 3308-5611,ufrgs.br,47 (4.7),Sim,2.52,Sim,ufrgs.br,Não obtido,Não obtido,Não obtido
"VERBOMED - Pós-Graduação Medicina (Pós em Medicina do Trabalho, Pós em Geriatria, Pós em Pediatria, Pós em Medicina do Esporte, Pós em Dermatologia, Pós em Medicina Estética entre outros","Av. Ipiranga, 2899 - Santana, Porto Alegre - RS, 90610-000",(51) 3076-8686,verbomed.com.br,402 (4.9),Sim,0.39,Não,verbomed.com.br,Não obtido,Não obtido,
Hospital de Clínicas de Porto Alegre,"Rua Ramiro Barcelos, 2350 Bloco A, Av. Protásio Alves, 211 - Bloco B e C - Santa Cecília, Porto Alegre - RS, 90035-903",(51) 3359-8000,hcpa.edu.br,1.145 (4.5),Sim,1.11,Sim,hcpa.edu.br,Não obtido,Não obtido,Bootstrap
Pontifícia Universidade Católica do Rio Grande do Sul,"Av. Ipiranga, 6681 - Partenon, Porto Alegre - RS, 90619-900",(51) 3320-3500,pucrs.br,2.418 (4.6),Sim,0.64,Sim,pucrs.br,Não obtido,https://www.instagram.com/pucrs/,WordPress; Bootstrap
Escola de Medicina (Prédio 12) - PUCRS,"Partenon, Porto Alegre - RS, 90160-092",(51) 3320-3829,pucrs.br,10 (4.3),Sim,0.5,Sim,pucrs.br,Não obtido,https://www.instagram.com/pucrs/,WordPress; Bootstrap
Universidade Estadual do Rio Grande do Sul,"Rua Washington Luiz, 675 - Centro Histórico, Porto Alegre - RS, 90010-460",(51) 3288-9000,uergs.edu.br,102 (4.6),Sim,4.51,Sim,uergs.edu.br,Não obtido,https://www.instagram.com/uergs/,Bootstrap
Método Medicina,"R. André Puente, 354 - Independência, Porto Alegre - RS, 90035-150",(51) 3573-7890,metodomedicina.com.br,12 (4.7),Sim,1.33,Sim,metodomedicina.com.br,https://api.whatsapp.com/send?phone=555190150055&text=quero%20saber%20informa%c3%a7%c3%b5es%20sobre%20o%20pr%c3%a9-vestibular%20m%c3%a9todo%20medicina...,https://www.instagram.com/metodomedicina/,WordPress
Academia Sul-Rio-Grandense de Medicina,"R. Bernardo Píres, 280 - 402 - Santana, Porto Alegre - RS, 90620-010",(51) 3217-0666,academiamedicinars.com.br,1 (5.0),Sim,0.5,Sim,academiamedicinars.com.br,Não obtido,https://www.instagram.com/academia_medicina/,WordPress
